"time (UTC)","airtemp_avg (degC)","qc_airtemp_avg","baro_pressure (hPa)","qc_baro_pressure","rh (%)","qc_rh","rain (in)","qc_rain","winddir (deg from)","qc_winddir","windspeed_avg (m/s)","qc_windspeed_avg","windspeed_max (m/s)","qc_windspeed_max","land par_avg (μmol of photons m-2 s-1)","qc_par_avg","underwater lower_par (μmol of photons m-2 s-1)","qc_lower_par","underwater upper_par (μmol of photons m-2 s-1)","qc_upper_par","co2_avg (ppm)","qc_co2_avg","h2o_avg (mmol/mol)","qc_h2o_avg"
"2025-07-02 07:35:00.000","12.119999885559082","0","1013.0919799804688","0","84.30000305175781","0","0.0","0","20.90999984741211","0","0.4350000023841858","0","1.4989999532699585","0","0.0","0","12.119999885559082","0","0.0","0","416.3999938964844","0","11.130000114440918","0"
"2025-07-02 07:40:00.000","12.069999694824219","0","1013.0999755859375","0","84.4000015258789","0","0.0","0","18.93000030517578","0","0.5600000023841858","0","1.5989999771118164","0","0.0","0","49.900001525878906","0","0.0","0","417.0","0","11.100000381469727","0"
"2025-07-02 07:45:00.000","12.09000015258789","0","1013.0999755859375","0","84.5","0","0.0","0","112.9000015258789","0","0.734000027179718","0","1.6330000162124634","0","0.0","0","31.530000686645508","0","0.0","0","418.6000061035156","0","11.130000114440918","0"
"2025-07-02 07:50:00.000","12.100000381469727","0","1013.1129760742188","0","84.4000015258789","0","0.0","0","127.5","0","1.1160000562667847","0","2.2660000324249268","0","0.0","0","26.899999618530273","0","0.0","0","417.79998779296875","0","11.09000015258789","0"
"2025-07-02 07:55:00.000","12.09000015258789","0","1013.0969848632812","0","84.4000015258789","0","0.0","0","122.69999694824219","0","1.0199999809265137","0","1.4329999685287476","0","0.0","0","27.350000381469727","0","0.0","0","418.3999938964844","0","11.100000381469727","0"
"2025-07-02 08:00:00.000","12.010000228881836","0","1013.052001953125","0","84.5","0","0.0","0","103.80000305175781","0","0.550000011920929","0","1.4989999532699585","0","0.0","0","84.30000305175781","0","0.0","0","419.29998779296875","0","11.050000190734863","0"
"2025-07-02 08:05:00.000","12.0","0","1013.0780029296875","0","84.5999984741211","0","0.0","0","101.19999694824219","0","0.597000002861023","0","2.065999984741211","0","0.0","0","5.875","0","0.0","0","419.29998779296875","0","11.039999961853027","0"
"2025-07-02 08:10:00.000","12.029999732971191","0","1013.0150146484375","0","84.4000015258789","0","0.0","0","63.599998474121094","0","0.5","0","1.1330000162124634","0","0.0","0","9.550000190734863","0","0.0","0","419.29998779296875","0","11.0","0"
"2025-07-02 08:15:00.000","12.0","0","1013.0","0","84.30000305175781","0","0.0","0","158.3000030517578","0","0.0820000022649765","0","0.6330000162124634","0","0.0","0","38.86000061035156","0","0.0","0","424.29998779296875","0","11.0","0"
"2025-07-02 08:20:00.000","11.949999809265137","0","1013.0","0","84.5","0","0.0","0","87.19999694824219","0","0.2750000059604645","0","0.8330000042915344","0","0.0","0","42.0099983215332","0","0.0","0","427.1000061035156","0","11.020000457763672","0"
