"time (UTC)","pCO2 in water (ppm)","qc_pco2_water","pCO2 in air (ppm)","qc_pco2_air","O2 in water (%)","qc_o2_water","o2_air","O2 in air (%)"
"2025-06-07 00:00:00.000","420.1412","0","421.4206","0","21.96068","0","21.306377","0"
"2025-06-07 03:00:00.000","290.18518","0","426.24237","0","22.812761","0","21.387417","0"
"2025-06-07 06:00:00.000","438.5508","0","441.85898","0","22.369835","0","21.282072","0"
"2025-06-07 09:00:00.000","411.7441","0","439.33014","0","22.109993","0","21.180698","0"
"2025-06-07 12:00:00.000","328.90454","0","468.63562","0","22.232586","0","21.0874","0"
"2025-06-07 15:00:00.000","338.22363","0","472.91992","0","22.788958","0","21.360523","0"
"2025-06-07 18:00:00.000","425.65085","0","427.29926","0","22.60517","0","21.508635","0"
"2025-06-07 21:00:00.000","411.45105","0","425.6819","0","22.250875","0","21.330526","0"
"2025-06-08 00:00:00.000","420.72482","0","425.5405","0","22.03154","0","21.09983","0"
"2025-06-08 03:00:00.000","315.36517","0","430.44318","0","22.829994","0","21.23656","0"
"2025-06-08 06:00:00.000","394.06198","0","443.19696","0","22.5988","0","21.099667","0"
"2025-06-08 09:00:00.000","389.32834","0","502.1674","0","22.391552","0","21.014482","0"
"2025-06-08 12:00:00.000","250.39679","0","511.57336","0","23.10602","0","20.962755","0"
"2025-06-08 15:00:00.000","245.2386","0","427.72977","0","23.928957","0","21.22155","0"
"2025-06-08 18:00:00.000","372.87814","0","430.52463","0","23.53397","0","21.31587","0"
"2025-06-08 21:00:00.000","379.52545","0","429.96674","0","23.129477","0","21.290691","0"
"2025-06-09 00:00:00.000","383.43033","0","428.8345","0","22.834986","0","20.976204","0"
"2025-06-09 03:00:00.000","272.39392","0","436.74457","0","23.41171","0","20.992249","0"
"2025-06-09 06:00:00.000","373.8045","0","516.6424","0","23.115358","0","21.002071","0"
"2025-06-09 09:00:00.000","181.65018","0","445.09442","0","24.134478","0","20.854149","0"
"2025-06-09 12:00:00.000","268.36395","0","519.0105","0","24.003963","0","20.79155","0"
"2025-06-09 15:00:00.000","245.64311","0","454.45114","0","24.495527","0","21.066896","0"
"2025-06-09 18:00:00.000","280.2088","0","428.0488","0","24.636564","0","21.149656","0"
"2025-06-09 21:00:00.000","375.49237","0","425.95187","0","23.684305","0","21.087585","0"
"2025-06-10 00:00:00.000","371.22888","0","426.01376","0","23.390165","0","21.065693","0"
"2025-06-10 03:00:00.000","192.12885","0","429.50104","0","24.746044","0","21.067072","0"
"2025-06-10 06:00:00.000","332.80814","0","438.15536","0","24.100513","0","20.981897","0"
"2025-06-10 09:00:00.000","157.25658","0","454.26385","0","25.287592","0","20.845871","0"
"2025-06-10 12:00:00.000","260.17276","0","508.8688","0","24.829138","0","20.76707","0"
"2025-06-10 15:00:00.000","243.28218","0","443.46844","0","25.197922","0","21.152061","0"
"2025-06-10 18:00:00.000","197.27829","0","433.8572","0","25.692587","0","21.19137","0"
"2025-06-10 21:00:00.000","387.62497","0","425.64993","0","24.29758","0","21.07931","0"
