time_pst,qc_pco2_water,qc_pco2_air,p_co2_in_water_ppm,p_co2_in_air_ppm
2024-01-31T03:00:00Z,0,0,495.26053,431.43674
2024-01-31T06:00:00Z,0,0,654.50476,425.79123
2024-01-31T09:00:00Z,0,0,542.40515,427.31998
2024-01-31T12:00:00Z,0,0,515.9234,429.4096
2024-01-31T15:00:00Z,0,0,526.4196,430.44534
2024-01-31T18:00:00Z,0,0,593.56036,430.00705
2024-01-31T21:00:00Z,0,0,609.9617,428.55307
2024-02-01T00:00:00Z,0,0,551.83276,431.9821
2024-02-01T03:00:00Z,0,0,542.1007,431.27557
2024-02-01T06:00:00Z,0,0,569.49084,443.25638
2024-02-01T09:00:00Z,0,0,616.051,493.87152
2024-02-01T12:00:00Z,0,0,556.1733,493.80603
2024-02-01T15:00:00Z,0,0,513.35016,493.9495
2024-02-01T18:00:00Z,0,0,607.31775,456.01086
2024-02-01T21:00:00Z,0,0,619.85565,438.87003
2024-02-02T00:00:00Z,0,0,564.02325,437.44296
2024-02-02T03:00:00Z,0,0,512.91675,440.49567
2024-02-02T06:00:00Z,0,0,530.1107,466.63843
2024-02-02T09:00:00Z,0,0,579.3764,468.4921
2024-02-02T12:00:00Z,0,0,537.9981,448.27072
2024-02-02T15:00:00Z,0,0,535.8388,448.51154
2024-02-02T18:00:00Z,0,0,572.19574,439.52325
2024-02-02T21:00:00Z,0,0,580.87775,433.0321
2024-02-03T00:00:00Z,0,0,587.79175,436.97137
2024-02-03T03:00:00Z,0,0,500.92828,454.74484
2024-02-03T06:00:00Z,0,0,498.2245,437.86102
2024-02-03T09:00:00Z,0,0,504.08328,478.8269
2024-02-03T12:00:00Z,0,0,490.75204,448.51794
2024-02-03T15:00:00Z,0,0,517.4072,444.49414
2024-02-03T18:00:00Z,0,0,526.73724,434.18225
2024-02-03T21:00:00Z,0,0,521.95123,429.3021
2024-02-04T00:00:00Z,0,0,541.835,431.47736
2024-02-04T03:00:00Z,0,0,494.9674,464.7597
2024-02-04T06:00:00Z,0,0,481.47568,465.69778
2024-02-04T09:00:00Z,0,0,464.6171,465.36713
2024-02-04T12:00:00Z,0,0,470.445,436.30154
2024-02-04T15:00:00Z,0,0,475.54156,435.4591
2024-02-04T18:00:00Z,0,0,479.185,428.4376
2024-02-04T21:00:00Z,0,0,509.5814,428.23172
2024-02-05T00:00:00Z,0,0,517.921,434.95776
2024-02-05T03:00:00Z,0,0,503.5131,436.2655
2024-02-05T06:00:00Z,0,0,471.17776,446.1198
2024-02-05T09:00:00Z,0,0,475.72702,438.05103
2024-02-05T12:00:00Z,0,0,477.73706,432.00516
2024-02-05T15:00:00Z,0,0,480.78845,436.2152
2024-02-05T18:00:00Z,0,0,468.79047,431.19415
2024-02-05T21:00:00Z,0,0,522.3045,428.5647
2024-02-07T00:00:00Z,0,0,488.0069,430.0657
2024-02-07T03:00:00Z,0,0,517.79913,439.7279
